business_name,city,state,website,phone,contact_method,industry,likely_opportunity,priority_score,to_email,status,email_sent,sent_at,followup_due,scan_note
"Dee's Plumbing & Construction,Inc.",Rockford,IL,,8156364626,phone,,,,,replied,true,2026-03-14T20:17:55.857333+00:00,,no website
Tactical Plumbing,Rockford,IL,,7795377095,phone,,,,,drafted,,,,no website
"Roto-Rooter Plumbing, Drain, & Water Damage Cleanup Service",Rockford,IL,,8153395444,phone,,,,,drafted,,,,no website
"Pearson Plumbing, Heating/AC & Pest Control",Rockford,IL,,8153988312,phone,,,,,drafted,,,,no website
#1 Plumbing Co.,Rockford,IL,,8159977301,phone,,,,,drafted,,,,no website
Hal's Plumbing,Rockford,IL,,8156391155,phone,,,,,drafted,,,,no website
Five Star Plumbing Company,Rockford,IL,,8156391016,phone,,,,,drafted,,,,no website
Lungo's Plumbing Services,Rockford,IL,,8157030827,phone,,,,,drafted,,,,no website
Total Plumbing & Heating LTD,Rockford,IL,,8154433536,phone,,,,,drafted,,,,no website
Frink's Sewer & Drain Inc,Rockford,IL,,8159624525,phone,,,,,drafted,,,,no website
A-1 Affordable Electric & Plumbing,Rockford,IL,,8152224339,phone,,,,,drafted,,,,no website
Calyx Contracting,Rockford,IL,,8156685551,phone,,,,,drafted,,,,no website
Big Joe the Plumber,Rockford,IL,,8153998335,phone,,,,,drafted,,,,no website
Black Diamond Plumbing & Mechanical Inc.,Rockford,IL,,7792073003,phone,,,,,drafted,,,,no website
"Trinity Plumbing, HVAC, & Remodeling",Rockford,IL,,8158211185,phone,,,,,drafted,,,,no website
Pease Plumbing,Rockford,IL,,8155432391,phone,,,,,drafted,,,,no website
Northern Illinois Sewer Service,Rockford,IL,,8152291174,phone,,,,,drafted,,,,no website
Owen Plumbing & Heating Co,Rockford,IL,,8153983100,phone,,,,,drafted,,,,no website
Nelson Drain Services Inc,Rockford,IL,,8159691550,phone,,,,,drafted,,,,no website
Holder Heating Solutions,Rockford,IL,,8152628415,phone,,,,,new,,,,no website
TNT Sewer N Drain Services,Rockford,IL,,8153163040,phone,,,,,drafted,,,,no website
T E Shouler Plumbing,Rockford,IL,,8158779129,phone,,,,,drafted,,,,no website
Lars Plumbing,Rockford,IL,https://www.larsplumbing.com/contact-us,8153788686,email,plumbing,,,john@larsplumbing.com,sent,true,2026-03-14T20:40:50.991149+00:00,,
EDWARDS SEWER & DRAIN,Rockford,IL,http://www.edwardsseweranddrain.com/,8778936251,website,plumbing,,,,drafted,,,,website unreachable
Handyman Connection of Rockford,Rockford,IL,https://handymanconnection.com/rockford/?utm_source=gbp&utm_medium=organic&utm_campaign=GBP-Website-Link,8159632226,email,plumbing,,,hc2603@handymanconnection.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
Total Sewer & Drain,Rockford,IL,https://www.totalseweranddrain.net/,8152420452,email,plumbing,,,alex@totalph.net,sent,true,2026-03-14T21:11:09.441997+00:00,,
Rescue Plumbing,chicago,IL,https://www.myrescueplumbing.com/,7732196071,email,plumbing,,,office@myrescueplumbing.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
Goode Plumbing,chicago,IL,https://goodeplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Chicago-IL,7732808496,email,plumbing,,,m-home-banner@2x.webp,sent,true,2026-03-14T21:11:09.441997+00:00,,
Roto-Rooter Plumbing & Water Cleanup,chicago,IL,https://www.rotorooter.com/chicago/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,3123792926,website,plumbing,,,,drafted,,,,scanned — no email found
"J. Blanton Plumbing, Sewer & Drain",chicago,IL,http://www.jblantonplumbing.com/,7736574820,website,plumbing,,,,drafted,,,,scanned — no email found
"ABC Plumbing, Sewer, Heating, Cooling & Electric",chicago,IL,https://www.4abc.com/il,8889913942,website,plumbing,,,,drafted,,,,website unreachable
"Vanguard Plumbing and Sewer, Inc.",chicago,IL,https://vanguardplumbingandsewer.com/?utm_campaign=gmb,7737410131,email,plumbing,,,vanguardplumbing@gmail.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
Apex Plumbing & Sewer Inc.,chicago,IL,https://www.apexplumbingchicago.com/,7734777714,email,plumbing,,,office@apexplumbingchicago.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
Rocket Plumbing,chicago,IL,https://rocketplumbingnow.com/jefferson-park-plumbing/,7732991600,website,plumbing,,,,drafted,,,,scanned — no email found
J Sewer & Drain Plumbing,chicago,IL,https://www.jsewerandplumbing.com/,7739682704,email,plumbing,,,jsewerdrainplumbing@gmail.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
First Chicago Plumbing,chicago,IL,http://firstchicagoplumbing.com/?utm_campaign=gmb,8472623786,email,plumbing,,,info@firstchicagoplumbing.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
"Lopez Plumbing Systems, Inc.",chicago,IL,http://www.lopezplumbingsystems.com/,7734248225,email,plumbing,,,info@lopezplumbingsystems.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
S and J Plumbing & Sewer,chicago,IL,https://www.sandjplumbing.com/?utm_source=google&utm_medium=organic_search&utm_campaign=1seo_gmb,8472331748,website,plumbing,,,,drafted,,,,scanned — no email found
Baethke Plumbing,chicago,IL,https://www.baethkeplumbing.com/?utm_source=GMBlisting&utm_medium=organic,3126971550,website,plumbing,,,,drafted,,,,scanned — no email found
"Power Plumbing & Sewer Contractor, Inc.",chicago,IL,https://powerplumbinginc.com/,7732489574,email,plumbing,,,power@powerplumbinginc.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
24 HR Emergency Plumber Chicago INC,chicago,IL,https://24hremergencyplumberchicago1.com/,7088475349,email,plumbing,,,clomoteyseo@gmail.com,sent,true,2026-03-14T21:11:09.441997+00:00,,
Sandoval Plumbing,chicago,IL,https://www.facebook.com/share/bmtB1wpbadb8njf2/?mibextid=LQQJ4d,7736103344,website,plumbing,,,,drafted,,,,website unreachable
Madden Sewer & Drain,chicago,IL,http://www.maddensewer.net/,7735887534,website,plumbing,,,,drafted,,,,scanned — no email found
Captain Rooter Emergency Plumbers,chicago,IL,,7738230199,phone,plumbing,,,,drafted,,,,no website
"Handyman Services: Plumbing, Electrician, Heating",Rockford,IL,,8335061780,phone,plumbing,,,,drafted,,,,no website
Plumbers in Rockford,Rockford,IL,http://plumbersinrockford.com/,08777503414,website,plumbing,,,,drafted,,,,scanned — no email found
Master Mart Plumbing,Rockford,IL,http://www.mastermartplumbing.com/,8159796300,website,plumbing,,,,drafted,,,,scanned — no email found
