email,business_name,subject,sent_date,campaign,keep_for_reset
info@fourseasonsgd.com,Four Seasons Garage Doors,quick question,2026-03-16T08:12:59-05:00,copperline_service_outreach,True
cs@comfortserv.com,Comfort Services Heating & Air Conditioning,missed calls?,2026-03-16T08:12:13-05:00,copperline_service_outreach,True
hvactechchicago@gmail.com,HvacTech Heating And Cooling,quick question,2026-03-16T08:11:26-05:00,copperline_service_outreach,True
info@chicagoheatingandcooling.com,Chicago Heating & Cooling,quick question,2026-03-16T08:10:40-05:00,copperline_service_outreach,True
proservice@proairhce.com,"Pro Air Heating Cooling and Electrical, HVAC Downers Grove, Naperville, Hinsdale, and Electrician",quick question,2026-03-16T08:09:53-05:00,copperline_service_outreach,True
customerservice@pmcomfort.com,"Paragon Heating, Cooling, and Tankless",quick question,2026-03-16T08:09:06-05:00,copperline_service_outreach,True
605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Planz Heating & Air Conditioning,missed calls?,2026-03-16T08:08:20-05:00,copperline_service_outreach,True
info@freedomheatcool.com,"Freedom Heating, Cooling & Electrical","quick question for Freedom Heating, Cooling & Electrical",2026-03-16T08:07:33-05:00,copperline_service_outreach,True
info@globalheatingcooling.us,Global Heating and Cooling | HVAC,quick question,2026-03-16T08:06:46-05:00,copperline_service_outreach,True
workorder@any-temp.com,Any Temp Heating & Cooling,quick question for Any Temp Heating & Cooling,2026-03-16T08:05:59-05:00,copperline_service_outreach,True
affordableaahvac@yahoo.com,"Affordable American Air Heating, Cooling & Energy services",quick question,2026-03-16T08:05:12-05:00,copperline_service_outreach,True
v.manzanarez@yahoo.com,Latino Heating & Cooling Inc,quick question for Latino Heating & Cooling Inc,2026-03-16T08:04:25-05:00,copperline_service_outreach,True
stephanie@goughheating.com,Gough Heating & Air Conditioning Ltd,quick question for Gough Heating & Air Conditioning Ltd,2026-03-16T08:03:38-05:00,copperline_service_outreach,True
service@gilleysheatingandair.com,Gilley's Heating & Air Conditioning,missed calls?,2026-03-16T08:02:52-05:00,copperline_service_outreach,True
info@mphvac.com,MP Heating & Air Conditioning,missed calls?,2026-03-16T08:02:05-05:00,copperline_service_outreach,True
info@yourcompany.com,"Improved Comfort Rockford HVAC & Furnace Repair Pros, Inc.",missed calls?,2026-03-16T08:01:18-05:00,copperline_service_outreach,True
absolutevalue06@gmail.com,Absolute Value Heating & Cooling - Rockford,quick question for Absolute Value Heating & Cooling - Rockford,2026-03-16T08:00:30-05:00,copperline_service_outreach,True
perfecttempheatingcooling@gmail.com,Perfect Temp Heating & Cooling,after-hours calls,2026-03-16T07:59:43-05:00,copperline_service_outreach,True
info@callsuperiordoor.com,Superior Overhead Door,quick question for Superior Overhead Door,2026-03-15T20:23:20-05:00,copperline_service_outreach,True
rockfordheating@gmail.com,Rockford Heating & Air Conditioning,quick question,2026-03-15T20:22:34-05:00,copperline_service_outreach,True
allenheatcool@yahoo.com,Allen Heating & Cooling,missed calls?,2026-03-15T20:21:47-05:00,copperline_service_outreach,True
roscoegaragedoor@gmail.com,Roscoe Garage Doors,after-hours calls,2026-03-15T20:21:01-05:00,copperline_service_outreach,True
sales@ackersondoors.com,Ackerson Door Sales,quick question for Ackerson Door Sales,2026-03-15T20:20:14-05:00,copperline_service_outreach,True
bea0545@gmail.com,Barcol Door Company Inc.,quick question,2026-03-15T20:19:28-05:00,copperline_service_outreach,True
rockriverdoor@gmail.com,Rock River Door Company,quick question,2026-03-15T20:18:41-05:00,copperline_service_outreach,True
rockfordservice@raynordoorauthority.com,Raynor Door Authority of Rockford,quick question,2026-03-15T20:17:54-05:00,copperline_service_outreach,True
croppsdoor@sbcglobal.net,Cropp's Door Service Inc.,missed calls?,2026-03-15T20:17:07-05:00,copperline_service_outreach,True
